,country,year,CH4,CO2,mining,GHG,N20,NO,Renewable,SO2,copdDalys,prev_CH4,prev_CO2,prev_mining,prev_GHG,prev_N20,prev_NO,prev_Renewable,prev_SO2,prev_copdDalys
363,Greece,2016_to_2017,10.17,3484.49000000001,0.09,3746.38,0.210000000000001,20.66,-2.34,-1.81,2677.05499647699,-13.87,-3589.53999999999,-0.03,-3642.55,0.18,-3.5,-1.39,-4.77,652.754434412171
365,Hungary,1991_to_1992,-52.03,-7368.58,-2.22,-10050.41,-4.21,-21.77,-0.15,-117.22,3571.98521302611,-10.75,-3680.33,0.14,-6664.28,-8.99,-30.41,0.02,2.92999999999995,-899.611994726554
366,Hungary,1992_to_1993,-21.95,1216.82,-0.56,882.830000000002,0.619999999999999,-0.430000000000007,0,4.54999999999995,300.117027590706,-52.03,-7368.58,-2.22,-10050.41,-4.21,-21.77,-0.15,-117.22,3571.98521302611
367,Hungary,1993_to_1994,-18.79,-1659.25,-0.12,-1145.69,3.2,-1.06999999999999,-0.02,-90.26,-2293.85907412232,-21.95,1216.82,-0.56,882.830000000002,0.619999999999999,-0.430000000000007,0,4.54999999999995,300.117027590706
368,Hungary,1994_to_1995,-21.45,-282.740000000005,-0.03,-1620.97,-2.79,-2.05000000000001,0,-15.63,-2264.96793503522,-18.79,-1659.25,-0.12,-1145.69,3.2,-1.06999999999999,-0.02,-90.26,-2293.85907412232
369,Hungary,1995_to_1996,2.52000000000004,1566.75,-0.03,2216.67,1.95,3.22,0.11,-2.15999999999997,-5422.0978573391,-21.45,-282.740000000005,-0.03,-1620.97,-2.79,-2.05000000000001,0,-15.63,-2264.96793503522
370,Hungary,1996_to_1997,-5.61000000000001,-1444.38,0.03,-1540.31,-0.0100000000000016,2.06,0.02,13.5799999999999,-2392.95006409928,2.52000000000004,1566.75,-0.03,2216.67,1.95,3.22,0.11,-2.15999999999997,-5422.0978573391
371,Hungary,1997_to_1998,-4.81,-398.139999999999,-0.15,-468.630000000005,-0.309999999999999,0.0200000000000102,-0.19,-59.55,-102.44716621314,-5.61000000000001,-1444.38,0.03,-1540.31,-0.0100000000000016,2.06,0.02,13.5799999999999,-2392.95006409928
372,Hungary,1998_to_1999,2.60000000000002,496.599999999999,-0.03,550.320000000007,-0.57,3.98999999999998,0.06,-7.47000000000003,547.618839687551,-4.81,-398.139999999999,-0.15,-468.630000000005,-0.309999999999999,0.0200000000000102,-0.19,-59.55,-102.44716621314
373,Hungary,1999_to_2000,4.04999999999995,-3303.33,-0.02,-2875.85000000001,1.14,-12.44,0.03,-131.26,-4886.07362210241,2.60000000000002,496.599999999999,-0.03,550.320000000007,-0.57,3.98999999999998,0.06,-7.47000000000003,547.618839687551
374,Hungary,2000_to_2001,-4.63,1630.53000000001,-0.02,1983.97,1.51,0.0400000000000205,0,-80.91,-2114.47421574262,4.04999999999995,-3303.33,-0.02,-2875.85000000001,1.14,-12.44,0.03,-131.26,-4886.07362210241
375,Hungary,2001_to_2002,-1.99000000000001,-1041.8,0.00999999999999998,-1683.47,-2.3,-7.34,0.03,-73.98,2282.49618537378,-4.63,1630.53000000001,-0.02,1983.97,1.51,0.0400000000000205,0,-80.91,-2114.47421574262
376,Hungary,2002_to_2003,6.82000000000005,2784.47,-0.00999999999999998,2953.07000000001,-0.260000000000002,3.66999999999999,-0.03,-26.35,4203.48460051681,-1.99000000000001,-1041.8,0.00999999999999998,-1683.47,-2.3,-7.34,0.03,-73.98,2282.49618537378
377,Hungary,2003_to_2004,-14.12,-1491.55,-0.01,-857.150000000009,2.66,-2.23999999999998,0.12,-94.55,2736.48992935794,6.82000000000005,2784.47,-0.00999999999999998,2953.07000000001,-0.260000000000002,3.66999999999999,-0.03,-26.35,4203.48460051681
378,Hungary,2004_to_2005,-8.25999999999999,116.610000000001,0.02,-244.300000000003,-0.899999999999999,-3.5,-0.04,-108.49,7243.32077703657,-14.12,-1491.55,-0.01,-857.150000000009,2.66,-2.23999999999998,0.12,-94.55,2736.48992935794
379,Hungary,2005_to_2006,-5.89000000000004,-691.150000000001,0,-1247.51999999999,-0.920000000000002,-7.30000000000001,0.05,-3.76,2715.47273863453,-8.25999999999999,116.610000000001,0.02,-244.300000000003,-0.899999999999999,-3.5,-0.04,-108.49,7243.32077703657
380,Hungary,2006_to_2007,-1.81999999999999,-1226.75,-0.05,-1682.37000000001,-1.84,-4,0.16,-2.92,4273.00640603788,-5.89000000000004,-691.150000000001,0,-1247.51999999999,-0.920000000000002,-7.30000000000001,0.05,-3.76,2715.47273863453
381,Hungary,2007_to_2008,-5.82999999999998,-1157.81,0.05,-1936.86,-2.35,-5.67000000000002,0.25,-0.410000000000004,-467.074861318542,-1.81999999999999,-1226.75,-0.05,-1682.37000000001,-1.84,-4,0.16,-2.92,4273.00640603788
382,Hungary,2008_to_2009,1.48000000000002,-5755.85,0.02,-6038.32999999999,-0.98,-11.08,0.51,-6.11,2814.12990575144,-5.82999999999998,-1157.81,0.05,-1936.86,-2.35,-5.67000000000002,0.25,-0.410000000000004,-467.074861318542
383,Hungary,2009_to_2010,0.129999999999995,348.709999999999,-0.04,375.150000000001,-0.25,-3.25,0.37,0.709999999999997,929.63807886334,1.48000000000002,-5755.85,0.02,-6038.32999999999,-0.98,-11.08,0.51,-6.11,2814.12990575144
384,Hungary,2010_to_2011,-3.31999999999999,-1801.53,0.02,-1617.29,0.640000000000001,-9.56,0.43,3.83,1850.99900608794,0.129999999999995,348.709999999999,-0.04,375.150000000001,-0.25,-3.25,0.37,0.709999999999997,929.63807886334
385,Hungary,2011_to_2012,1.98999999999995,-3545.47,0.01,-3669.73,-0.210000000000001,-8.05,0.5,-3.76,2455.04118939405,-3.31999999999999,-1801.53,0.02,-1617.29,0.640000000000001,-9.56,0.43,3.83,1850.99900608794
386,Hungary,2012_to_2013,-6.75,-3071.87,-0.03,-2806.58,1.14,-2.36,0.4,-1.15,714.396179589603,1.98999999999995,-3545.47,0.01,-3669.73,-0.210000000000001,-8.05,0.5,-3.76,2455.04118939405
387,Hungary,2013_to_2014,-7.26999999999998,157.900000000001,-0.02,628.019999999997,0.789999999999999,-1.76000000000001,0.41,-3.36,3382.46384731037,-6.75,-3071.87,-0.03,-2806.58,1.14,-2.36,0.4,-1.15,714.396179589603
388,Hungary,2014_to_2015,0.920000000000016,2764.9,-0.04,3406.17,0.340000000000002,2.02,0.0600000000000001,-1.72,4590.56644188269,-7.26999999999998,157.900000000001,-0.02,628.019999999997,0.789999999999999,-1.76000000000001,0.41,-3.36,3382.46384731037
389,Hungary,2015_to_2016,-2,768.099999999999,-0.01,460,0.899999999999999,-7.11,0.24,-1.17,-2.70468932494987,0.920000000000016,2764.9,-0.04,3406.17,0.340000000000002,2.02,0.0600000000000001,-1.72,4590.56644188269
390,Hungary,2016_to_2017,2.87,2289.14,0.04,2524.01,0,1.15000000000001,0.32,4.68,2598.05910938562,-2,768.099999999999,-0.01,460,0.899999999999999,-7.11,0.24,-1.17,-2.70468932494987
